|e_P|;	|e_N|;	N;	theoretical bias;	practical bias;	position of e_P in L;	\hat{f}(e_P);	\hat{f}(L[0]);	\hat{f}(L[1])
5;	37;	22065;	0.481493;	0.477453;	3;	487;	497;	493
2;	40;	21759;	0.487291;	0.482237;	777;	308;	468;	446
5;	37;	21849;	0.481493;	0.479564;	18;	416;	478;	476
4;	38;	21675;	0.483625;	0.482445;	3;	446;	472;	468
3;	39;	21862;	0.485553;	0.492727;	23605;	176;	476;	464
5;	37;	21658;	0.481493;	0.481300;	1;	490;	492;	490
5;	37;	21944;	0.481493;	0.486238;	5854;	239;	481;	473
4;	38;	21702;	0.483625;	0.479449;	8;	439;	493;	491
4;	38;	21803;	0.483625;	0.482823;	3;	454;	468;	466
3;	39;	21871;	0.485553;	0.480545;	8;	444;	476;	472
3;	39;	21693;	0.485553;	0.486240;	4012;	251;	497;	479
1;	41;	21824;	0.488854;	0.491935;	1123;	294;	494;	486
5;	37;	21821;	0.481493;	0.481784;	12;	434;	530;	516
3;	39;	21820;	0.485553;	0.481852;	1;	489;	509;	489
3;	39;	21544;	0.485553;	0.489139;	115;	356;	496;	476
5;	37;	21604;	0.481493;	0.476023;	0;	622;	622;	454
6;	36;	21781;	0.479139;	0.480970;	1;	512;	574;	512
3;	39;	21843;	0.485553;	0.488394;	670;	313;	493;	477
4;	38;	21797;	0.483625;	0.483599;	146;	358;	488;	486
6;	36;	21656;	0.479139;	0.475018;	0;	491;	491;	455
2;	40;	21688;	0.487291;	0.491700;	39413;	149;	501;	487
2;	40;	21585;	0.487291;	0.487792;	1883;	277;	465;	455
5;	37;	21774;	0.481493;	0.467392;	0;	644;	644;	468
5;	37;	21653;	0.481493;	0.482520;	170;	353;	467;	455
2;	40;	21356;	0.487291;	0.486093;	274;	337;	491;	485
3;	39;	21797;	0.485553;	0.480204;	73;	375;	529;	485
4;	38;	21528;	0.483625;	0.484578;	213;	344;	522;	518
6;	36;	21843;	0.479139;	0.482351;	149;	359;	499;	439
4;	38;	21873;	0.483625;	0.482330;	465;	324;	500;	482
2;	40;	21609;	0.487291;	0.487575;	21798;	178;	462;	460
4;	38;	21681;	0.483625;	0.484111;	78;	374;	474;	468
3;	39;	21640;	0.485553;	0.484982;	363;	332;	484;	464
4;	38;	21894;	0.483625;	0.487714;	20924;	182;	512;	498
3;	39;	21733;	0.485553;	0.483136;	10874;	211;	505;	475
6;	36;	21519;	0.479139;	0.481667;	1068;	298;	470;	464
5;	37;	21552;	0.481493;	0.478842;	873;	301;	459;	453
5;	37;	21718;	0.481493;	0.474077;	4;	469;	555;	485
3;	39;	21523;	0.485553;	0.484273;	44;	388;	486;	472
3;	39;	21548;	0.485553;	0.483432;	272;	337;	457;	451
4;	38;	21520;	0.483625;	0.488197;	290;	338;	478;	476
4;	38;	21948;	0.483625;	0.485830;	279;	343;	483;	479
6;	36;	21549;	0.479139;	0.481646;	276;	335;	513;	493
5;	37;	21679;	0.481493;	0.485631;	831;	305;	477;	475
3;	39;	21992;	0.485553;	0.484585;	186;	352;	480;	480
4;	38;	21694;	0.483625;	0.485388;	1238;	291;	479;	473
2;	40;	21763;	0.487291;	0.482516;	621;	315;	483;	481
4;	38;	21849;	0.483625;	0.484553;	11;	427;	475;	461
2;	40;	21698;	0.487291;	0.492027;	39928;	148;	514;	464
4;	38;	21681;	0.483625;	0.482219;	73;	370;	520;	500
3;	39;	21473;	0.485553;	0.485493;	57;	386;	500;	452
4;	38;	21403;	0.483625;	0.483717;	99472;	90;	456;	456
4;	38;	21571;	0.483625;	0.485003;	264;	338;	476;	442
5;	37;	21598;	0.481493;	0.485138;	3279;	256;	536;	516
2;	40;	21701;	0.487291;	0.485830;	3301;	258;	452;	448
6;	36;	21545;	0.479139;	0.478208;	0;	561;	561;	461
4;	38;	21789;	0.483625;	0.482812;	1;	464;	480;	464
2;	40;	21491;	0.487291;	0.480759;	0;	562;	562;	466
6;	36;	21600;	0.479139;	0.477546;	28;	402;	472;	470
1;	41;	21969;	0.488854;	0.484683;	256;	342;	488;	464
5;	37;	21578;	0.481493;	0.479933;	0;	515;	515;	481
6;	36;	21679;	0.479139;	0.477790;	0;	533;	533;	457
4;	38;	21682;	0.483625;	0.486164;	512;	319;	483;	465
2;	40;	21702;	0.487291;	0.488296;	55070;	129;	471;	463
4;	38;	21692;	0.483625;	0.490642;	1648;	283;	459;	447
6;	36;	21452;	0.479139;	0.480794;	9;	415;	479;	461
3;	39;	21486;	0.485553;	0.489807;	14960;	196;	462;	452
6;	36;	21552;	0.479139;	0.482183;	165;	350;	502;	466
2;	40;	21908;	0.487291;	0.487356;	3935;	252;	494;	474
4;	38;	21534;	0.483625;	0.483886;	8457;	221;	477;	477
5;	37;	21544;	0.481493;	0.479298;	4;	446;	580;	480
3;	39;	21652;	0.485553;	0.482958;	20;	409;	495;	455
2;	40;	21633;	0.487291;	0.489437;	19316;	184;	464;	452
4;	38;	21651;	0.483625;	0.486121;	1179;	294;	480;	452
5;	37;	21825;	0.481493;	0.480916;	26;	412;	516;	494
4;	38;	22069;	0.483625;	0.480312;	1;	481;	513;	481
5;	37;	21905;	0.481493;	0.480849;	0;	475;	475;	467
3;	39;	21690;	0.485553;	0.486445;	2138;	274;	612;	514
5;	37;	21792;	0.481493;	0.486004;	311;	337;	537;	497
3;	39;	21914;	0.485553;	0.481747;	10;	430;	500;	456
3;	39;	21668;	0.485553;	0.486985;	3934;	253;	483;	453
3;	39;	21605;	0.485553;	0.481787;	6;	440;	488;	480
5;	37;	21925;	0.481493;	0.479270;	1746;	281;	519;	467
4;	38;	21740;	0.483625;	0.487443;	23213;	176;	530;	522
2;	40;	21596;	0.487291;	0.485692;	516;	319;	497;	479
3;	39;	21495;	0.485553;	0.483089;	29;	394;	486;	474
3;	39;	21675;	0.485553;	0.487290;	5274;	240;	474;	456
5;	37;	21679;	0.481493;	0.486415;	28703;	163;	481;	461
4;	38;	21589;	0.483625;	0.488860;	2379;	271;	507;	479
6;	36;	21696;	0.479139;	0.481056;	167;	349;	535;	501
3;	39;	21680;	0.485553;	0.479705;	22;	405;	465;	461
6;	36;	21784;	0.479139;	0.479113;	25;	407;	477;	449
2;	40;	21637;	0.487291;	0.487637;	177;	355;	467;	449
5;	37;	21512;	0.481493;	0.480755;	8;	424;	474;	472
3;	39;	21835;	0.485553;	0.486558;	14;	418;	504;	456
6;	36;	21867;	0.479139;	0.479124;	75;	379;	489;	451
3;	39;	21516;	0.485553;	0.485546;	5604;	237;	531;	457
4;	38;	21797;	0.483625;	0.483369;	681;	313;	455;	449
3;	39;	21620;	0.485553;	0.484320;	363;	332;	472;	464
3;	39;	21769;	0.485553;	0.487023;	477;	321;	495;	447
3;	39;	21569;	0.485553;	0.491168;	2193;	270;	554;	488
0;	42;	21527;	0.490257;	0.488178;	524287;	-10509;	467;	467
3;	39;	21785;	0.485553;	0.488088;	1513;	286;	494;	452
4;	38;	21516;	0.483625;	0.484941;	970;	298;	444;	440
3;	39;	21488;	0.485553;	0.486644;	767;	306;	542;	494
2;	40;	21702;	0.487291;	0.483135;	53;	387;	459;	459
4;	38;	21314;	0.483625;	0.481608;	102;	366;	504;	496
5;	37;	21846;	0.481493;	0.483384;	527;	320;	536;	460
