|e_P|;	|e_N|;	N;	theoretical bias;	practical bias;	position of e_P in L;	\hat{f}(e_P);	\hat{f}(L[0]);	\hat{f}(L[1])
4;	38;	21609;	0.483625;	0.488084;	67;	376;	474;	450
5;	37;	21898;	0.481493;	0.477669;	0;	518;	518;	462
5;	37;	21669;	0.481493;	0.488578;	1633;	282;	500;	492
6;	36;	21752;	0.479139;	0.479036;	1538;	284;	452;	450
2;	40;	22186;	0.487291;	0.485892;	266;	347;	523;	491
5;	37;	21986;	0.481493;	0.479760;	140;	362;	498;	494
4;	38;	21442;	0.483625;	0.483304;	0;	498;	498;	466
4;	38;	21537;	0.483625;	0.487812;	9403;	216;	520;	508
3;	39;	21795;	0.485553;	0.483276;	16;	423;	541;	507
6;	36;	21782;	0.479139;	0.476632;	0;	605;	605;	475
6;	36;	21592;	0.479139;	0.473601;	0;	562;	562;	454
7;	35;	21759;	0.476545;	0.472586;	0;	601;	601;	499
6;	36;	21787;	0.479139;	0.477441;	0;	556;	556;	512
5;	37;	21669;	0.481493;	0.482717;	136;	356;	446;	442
4;	38;	21697;	0.483625;	0.480573;	230;	341;	521;	483
4;	38;	21600;	0.483625;	0.487824;	80;	376;	510;	466
5;	37;	21626;	0.481493;	0.477620;	5;	466;	504;	498
3;	39;	21865;	0.485553;	0.494077;	34421;	156;	492;	472
3;	39;	21757;	0.485553;	0.487751;	10938;	211;	537;	507
7;	35;	21651;	0.476545;	0.473373;	0;	547;	547;	509
4;	38;	21659;	0.483625;	0.480216;	0;	509;	509;	469
7;	35;	21558;	0.476545;	0.476111;	0;	568;	568;	494
4;	38;	21700;	0.483625;	0.484194;	2030;	273;	477;	453
8;	34;	21578;	0.473693;	0.471221;	0;	765;	765;	487
3;	39;	21603;	0.485553;	0.488034;	1665;	282;	490;	466
5;	37;	21682;	0.481493;	0.480537;	12;	420;	512;	482
6;	36;	21591;	0.479139;	0.484183;	3286;	256;	506;	480
4;	38;	21638;	0.483625;	0.483178;	384;	328;	500;	464
3;	39;	21862;	0.485553;	0.488016;	6853;	230;	514;	492
4;	38;	21584;	0.483625;	0.481746;	2;	467;	495;	483
5;	37;	21604;	0.481493;	0.483660;	37;	385;	477;	451
3;	39;	21655;	0.485553;	0.490880;	9230;	218;	492;	470
4;	38;	21416;	0.483625;	0.482817;	150;	354;	476;	446
4;	38;	21609;	0.483625;	0.486094;	3716;	254;	482;	476
3;	39;	21690;	0.485553;	0.489212;	36852;	151;	455;	453
5;	37;	21703;	0.481493;	0.481592;	16;	411;	475;	461
4;	38;	21837;	0.483625;	0.485003;	124;	361;	523;	505
2;	40;	21845;	0.487291;	0.490089;	542;	317;	471;	457
3;	39;	21900;	0.485553;	0.486484;	416;	327;	491;	465
5;	37;	21438;	0.481493;	0.479989;	47;	391;	497;	475
2;	40;	21628;	0.487291;	0.486453;	1934;	276;	462;	436
3;	39;	21521;	0.485553;	0.488128;	185168;	39;	495;	483
4;	38;	21706;	0.483625;	0.483968;	4424;	247;	515;	501
4;	38;	21805;	0.483625;	0.480945;	7;	431;	505;	455
3;	39;	21786;	0.485553;	0.486597;	1863;	279;	521;	487
3;	39;	21368;	0.485553;	0.483480;	704;	308;	472;	468
2;	40;	21371;	0.487291;	0.486500;	5176;	239;	495;	477
2;	40;	21623;	0.487291;	0.486242;	3793;	252;	518;	456
3;	39;	21655;	0.485553;	0.488248;	2537;	267;	589;	463
2;	40;	21528;	0.487291;	0.486901;	12114;	205;	469;	451
2;	40;	21725;	0.487291;	0.486536;	5239;	240;	454;	454
6;	36;	21596;	0.479139;	0.480830;	7;	440;	502;	482
4;	38;	21497;	0.483625;	0.481509;	0;	511;	511;	465
9;	33;	21711;	0.470562;	0.471236;	0;	646;	646;	546
2;	40;	21618;	0.487291;	0.488343;	5790;	236;	548;	510
2;	40;	21617;	0.487291;	0.481750;	8;	437;	525;	473
3;	39;	21576;	0.485553;	0.485818;	40723;	147;	535;	463
4;	38;	21628;	0.483625;	0.481690;	3444;	256;	474;	462
5;	37;	21543;	0.481493;	0.479228;	2;	466;	526;	480
1;	41;	21637;	0.488854;	0.486297;	10;	441;	483;	483
3;	39;	21688;	0.485553;	0.487320;	174;	355;	477;	455
7;	35;	21718;	0.476545;	0.475458;	0;	669;	669;	523
1;	41;	21762;	0.488854;	0.491453;	165765;	49;	493;	483
1;	41;	21537;	0.488854;	0.482054;	12;	414;	514;	462
4;	38;	21788;	0.483625;	0.482284;	4596;	245;	491;	471
1;	41;	21702;	0.488854;	0.487190;	64;	373;	523;	457
2;	40;	21768;	0.487291;	0.489847;	3245;	261;	485;	469
5;	37;	21818;	0.481493;	0.482262;	205;	350;	472;	456
4;	38;	21478;	0.483625;	0.490688;	16879;	190;	504;	480
4;	38;	21600;	0.483625;	0.477824;	0;	599;	599;	525
3;	39;	21576;	0.485553;	0.479143;	25;	396;	510;	504
3;	39;	21688;	0.485553;	0.483447;	283;	339;	555;	491
4;	38;	21750;	0.483625;	0.486161;	775;	307;	483;	469
4;	38;	21690;	0.483625;	0.488520;	48791;	137;	473;	473
1;	41;	21644;	0.488854;	0.493578;	51993;	133;	475;	453
3;	39;	21393;	0.485553;	0.488758;	13109;	200;	474;	468
6;	36;	21855;	0.479139;	0.480805;	2;	460;	472;	468
4;	38;	21650;	0.483625;	0.479492;	727;	304;	512;	500
2;	40;	21572;	0.487291;	0.490312;	2367;	267;	523;	467
6;	36;	21630;	0.479139;	0.482894;	0;	481;	481;	477
5;	37;	21584;	0.481493;	0.478595;	23;	410;	460;	456
4;	38;	21958;	0.483625;	0.483286;	2;	472;	484;	476
5;	37;	21741;	0.481493;	0.483050;	24;	404;	498;	496
4;	38;	21723;	0.483625;	0.480551;	0;	518;	518;	484
5;	37;	21483;	0.481493;	0.478751;	0;	505;	505;	475
4;	38;	21921;	0.483625;	0.484558;	5030;	243;	463;	453
4;	38;	21465;	0.483625;	0.481388;	2911;	260;	490;	476
4;	38;	21670;	0.483625;	0.488186;	3796;	250;	488;	472
7;	35;	21517;	0.476545;	0.481991;	69;	377;	477;	461
5;	37;	21516;	0.481493;	0.481084;	20;	411;	499;	453
5;	37;	21576;	0.481493;	0.485354;	267;	338;	458;	450
3;	39;	21711;	0.485553;	0.480678;	114;	367;	469;	457
2;	40;	21639;	0.487291;	0.487962;	3759;	253;	567;	495
1;	41;	21804;	0.488854;	0.489314;	6494;	233;	489;	471
4;	38;	21837;	0.483625;	0.480103;	37;	398;	474;	470
2;	40;	21869;	0.487291;	0.486991;	1751;	282;	456;	442
4;	38;	21869;	0.483625;	0.486076;	8726;	221;	497;	487
2;	40;	21573;	0.487291;	0.486859;	15;	407;	477;	445
3;	39;	21657;	0.485553;	0.485617;	808;	305;	469;	465
4;	38;	21613;	0.483625;	0.489243;	141;	359;	463;	447
2;	40;	21693;	0.487291;	0.491910;	22161;	177;	471;	463
2;	40;	21834;	0.487291;	0.485161;	3371;	256;	498;	460
4;	38;	21763;	0.483625;	0.482516;	55;	381;	487;	479
4;	38;	21501;	0.483625;	0.480815;	0;	584;	584;	476
4;	38;	21687;	0.483625;	0.488864;	60614;	124;	498;	468
5;	37;	21565;	0.481493;	0.488894;	18055;	187;	525;	467
5;	37;	21360;	0.481493;	0.480618;	1153;	292;	474;	472
1;	41;	21527;	0.488854;	0.490640;	5408;	235;	479;	459
0;	42;	21690;	0.490257;	0.491701;	524287;	-10665;	489;	451
4;	38;	21586;	0.483625;	0.487863;	12008;	205;	447;	445
5;	37;	21907;	0.481493;	0.488794;	3643;	256;	508;	506
5;	37;	21637;	0.481493;	0.484171;	1334;	289;	487;	449
6;	36;	21696;	0.479139;	0.479674;	3;	442;	486;	454
5;	37;	21657;	0.481493;	0.478275;	54;	377;	473;	467
4;	38;	22318;	0.483625;	0.484542;	839;	308;	510;	482
6;	36;	21444;	0.479139;	0.488248;	2066;	273;	475;	459
5;	37;	21583;	0.481493;	0.488625;	5688;	237;	483;	459
2;	40;	21715;	0.487291;	0.493300;	72170;	113;	523;	483
3;	39;	21555;	0.485553;	0.485038;	1881;	278;	492;	476
5;	37;	21653;	0.481493;	0.479195;	1;	456;	534;	456
4;	38;	21687;	0.483625;	0.479734;	4;	437;	491;	487
2;	40;	21657;	0.487291;	0.482384;	70;	375;	507;	473
2;	40;	21513;	0.487291;	0.486218;	296;	338;	548;	486
3;	39;	21645;	0.485553;	0.485701;	4092;	249;	499;	463
6;	36;	21469;	0.479139;	0.481019;	1;	536;	576;	536
8;	34;	21889;	0.473693;	0.474531;	2;	475;	489;	483
4;	38;	21824;	0.483625;	0.484054;	690;	314;	492;	452
3;	39;	21603;	0.485553;	0.488219;	8027;	221;	513;	477
3;	39;	21553;	0.485553;	0.479933;	10223;	213;	465;	453
5;	37;	21533;	0.481493;	0.482329;	157;	355;	515;	461
5;	37;	21645;	0.481493;	0.483252;	2008;	275;	493;	471
3;	39;	21547;	0.485553;	0.490509;	4821;	243;	481;	477
7;	35;	21543;	0.476545;	0.476210;	0;	618;	618;	480
0;	42;	21735;	0.490257;	0.488429;	524287;	-10616;	494;	466
3;	39;	21362;	0.485553;	0.484224;	146;	352;	442;	428
5;	37;	21765;	0.481493;	0.486285;	420;	327;	509;	487
8;	34;	21737;	0.473693;	0.473570;	11;	427;	459;	453
3;	39;	21585;	0.485553;	0.482418;	7;	436;	484;	466
5;	37;	21771;	0.481493;	0.482660;	87;	379;	461;	455
6;	36;	21787;	0.479139;	0.475559;	0;	588;	588;	478
4;	38;	21656;	0.483625;	0.487856;	591;	313;	527;	463
3;	39;	21657;	0.485553;	0.483262;	16;	415;	509;	493
4;	38;	21937;	0.483625;	0.484433;	7540;	226;	492;	458
4;	38;	21757;	0.483625;	0.482833;	887;	303;	517;	451
3;	39;	21504;	0.485553;	0.482422;	72;	372;	458;	456
3;	39;	21482;	0.485553;	0.484731;	1214;	291;	507;	465
3;	39;	21428;	0.485553;	0.479746;	458;	320;	456;	450
3;	39;	22094;	0.485553;	0.486286;	6025;	236;	480;	476
4;	38;	21620;	0.483625;	0.488020;	9194;	217;	551;	465
5;	37;	21643;	0.481493;	0.485561;	10460;	210;	474;	444
7;	35;	21567;	0.476545;	0.467891;	0;	597;	597;	449
5;	37;	21705;	0.481493;	0.486616;	2537;	269;	489;	481
5;	37;	21362;	0.481493;	0.474675;	4;	428;	452;	442
3;	39;	21664;	0.485553;	0.482136;	2;	474;	478;	476
5;	37;	21909;	0.481493;	0.487425;	24;	414;	470;	468
1;	41;	21683;	0.488854;	0.490107;	25139;	173;	509;	469
6;	36;	21589;	0.479139;	0.481495;	0;	544;	544;	478
5;	37;	21749;	0.481493;	0.479332;	0;	483;	483;	481
6;	36;	21677;	0.479139;	0.484569;	7;	450;	484;	484
0;	42;	21641;	0.490257;	0.489996;	524287;	-10604;	472;	464
1;	41;	21915;	0.488854;	0.488068;	4080;	252;	442;	440
6;	36;	21733;	0.479139;	0.479547;	0;	489;	489;	483
3;	39;	21878;	0.485553;	0.485602;	491;	322;	480;	462
7;	35;	21456;	0.476545;	0.477349;	0;	557;	557;	509
2;	40;	21848;	0.487291;	0.482744;	30;	413;	517;	511
2;	40;	21532;	0.487291;	0.488622;	8793;	219;	471;	471
6;	36;	21838;	0.479139;	0.478432;	0;	482;	482;	474
3;	39;	21836;	0.485553;	0.481682;	11;	436;	488;	478
4;	38;	21539;	0.483625;	0.489298;	14522;	197;	499;	467
3;	39;	21632;	0.485553;	0.493389;	8284;	221;	607;	525
6;	36;	21670;	0.479139;	0.479326;	4;	465;	493;	475
4;	38;	21750;	0.483625;	0.482483;	289;	341;	475;	463
6;	36;	21528;	0.479139;	0.473384;	0;	677;	677;	507
4;	38;	21760;	0.483625;	0.487684;	1042;	298;	460;	460
5;	37;	21703;	0.481493;	0.486799;	1840;	279;	503;	465
2;	40;	21558;	0.487291;	0.492532;	30384;	162;	480;	472
3;	39;	21807;	0.485553;	0.487137;	643;	315;	473;	467
2;	40;	21670;	0.487291;	0.492386;	3175;	259;	479;	453
4;	38;	21921;	0.483625;	0.485972;	1032;	297;	511;	473
5;	37;	21878;	0.481493;	0.475912;	0;	510;	510;	490
3;	39;	21617;	0.485553;	0.486099;	8243;	221;	477;	455
3;	39;	21389;	0.485553;	0.490252;	3353;	256;	540;	444
7;	35;	21678;	0.476545;	0.478273;	4;	458;	500;	498
4;	38;	21516;	0.483625;	0.483408;	89;	369;	485;	469
3;	39;	21731;	0.485553;	0.484331;	6743;	231;	461;	455
4;	38;	21908;	0.483625;	0.486215;	92;	367;	487;	477
6;	36;	21639;	0.479139;	0.477148;	0;	501;	501;	459
8;	34;	21966;	0.473693;	0.473505;	0;	617;	617;	489
3;	39;	21609;	0.485553;	0.483225;	182;	350;	462;	444
0;	42;	21833;	0.490257;	0.489809;	524287;	-10694;	494;	472
3;	39;	21852;	0.485553;	0.486775;	12753;	203;	527;	491
2;	40;	21698;	0.487291;	0.490644;	45601;	140;	478;	474
4;	38;	21681;	0.483625;	0.479452;	3;	428;	524;	516
7;	35;	21724;	0.476545;	0.474498;	0;	604;	604;	468
4;	38;	21594;	0.483625;	0.490044;	6419;	232;	506;	504
5;	37;	21815;	0.481493;	0.477424;	0;	533;	533;	489
3;	39;	21643;	0.485553;	0.485607;	313;	332;	488;	462
6;	36;	21666;	0.479139;	0.476461;	0;	520;	520;	492
2;	40;	21429;	0.487291;	0.498997;	390070;	-66;	490;	480
4;	38;	21644;	0.483625;	0.487803;	4095;	248;	476;	466
1;	41;	21855;	0.488854;	0.488492;	36973;	153;	511;	503
3;	39;	21783;	0.485553;	0.485654;	1151;	295;	491;	483
2;	40;	21631;	0.487291;	0.484259;	47;	381;	471;	463
2;	40;	21484;	0.487291;	0.485664;	247;	341;	499;	453
4;	38;	21670;	0.483625;	0.488971;	81930;	104;	448;	444
4;	38;	21928;	0.483625;	0.487003;	6442;	231;	565;	445
4;	38;	21657;	0.483625;	0.482292;	8;	445;	479;	473
6;	36;	21557;	0.479139;	0.481792;	1;	461;	485;	461
6;	36;	21812;	0.479139;	0.475656;	0;	576;	576;	512
4;	38;	21583;	0.483625;	0.480100;	0;	508;	508;	478
4;	38;	21687;	0.483625;	0.481994;	9;	420;	496;	456
5;	37;	21735;	0.481493;	0.476651;	0;	503;	503;	477
3;	39;	21682;	0.485553;	0.487455;	6584;	231;	533;	495
5;	37;	21442;	0.481493;	0.480739;	377;	325;	479;	473
5;	37;	21859;	0.481493;	0.483554;	47;	389;	511;	505
3;	39;	21528;	0.485553;	0.483696;	375;	327;	495;	461
3;	39;	21476;	0.485553;	0.487148;	707;	306;	506;	452
5;	37;	21742;	0.481493;	0.484638;	418;	328;	480;	454
2;	40;	21615;	0.487291;	0.479944;	1;	489;	495;	489
5;	37;	21576;	0.481493;	0.481461;	0;	506;	506;	500
5;	37;	21640;	0.481493;	0.477403;	4;	439;	509;	451
3;	39;	21747;	0.485553;	0.486412;	11;	420;	466;	452
4;	38;	21666;	0.483625;	0.484538;	1274;	290;	472;	464
5;	37;	21464;	0.481493;	0.480805;	1173;	291;	473;	473
3;	39;	21752;	0.485553;	0.486300;	13208;	204;	496;	490
3;	39;	21782;	0.485553;	0.492425;	47501;	138;	500;	434
5;	37;	21914;	0.481493;	0.478872;	0;	646;	646;	502
5;	37;	21807;	0.481493;	0.481680;	23;	401;	487;	483
3;	39;	21715;	0.485553;	0.487359;	6469;	232;	454;	444
8;	34;	21803;	0.473693;	0.476494;	0;	617;	617;	483
3;	39;	21708;	0.485553;	0.481620;	33;	404;	460;	458
6;	36;	21596;	0.479139;	0.479348;	35;	394;	492;	468
1;	41;	21466;	0.488854;	0.490124;	3858;	250;	498;	468
2;	40;	21521;	0.487291;	0.482459;	386;	327;	481;	471
7;	35;	21659;	0.476545;	0.473106;	0;	498;	498;	496
4;	38;	21718;	0.483625;	0.483930;	0;	568;	568;	490
4;	38;	21800;	0.483625;	0.483761;	46166;	140;	456;	450
5;	37;	21603;	0.481493;	0.481692;	15;	414;	498;	466
3;	39;	22066;	0.485553;	0.486404;	3;	428;	514;	440
5;	37;	21740;	0.481493;	0.482889;	1230;	294;	492;	452
4;	38;	22310;	0.483625;	0.483460;	17;	413;	479;	459
7;	35;	21590;	0.476545;	0.475961;	2;	475;	505;	475
2;	40;	21826;	0.487291;	0.486347;	52;	385;	503;	479
3;	39;	21601;	0.485553;	0.489144;	808;	307;	491;	457
4;	38;	21761;	0.483625;	0.479252;	16;	408;	496;	484
4;	38;	21444;	0.483625;	0.479808;	51;	381;	459;	453
4;	38;	21617;	0.483625;	0.481612;	2;	460;	464;	464
5;	37;	22139;	0.481493;	0.480510;	435;	328;	480;	470
3;	39;	21388;	0.485553;	0.484805;	326;	331;	539;	485
4;	38;	21688;	0.483625;	0.484969;	2;	480;	498;	494
1;	41;	21598;	0.488854;	0.484999;	2299;	269;	453;	447
2;	40;	21687;	0.487291;	0.482501;	49;	385;	493;	473
0;	42;	21671;	0.490257;	0.484242;	524287;	-10494;	442;	438
5;	37;	21516;	0.481493;	0.481642;	0;	540;	540;	472
3;	39;	21706;	0.485553;	0.489911;	21741;	179;	581;	455
6;	36;	21517;	0.479139;	0.475113;	0;	502;	502;	472
4;	38;	21927;	0.483625;	0.485110;	99;	369;	505;	505
5;	37;	21822;	0.481493;	0.482907;	1;	507;	513;	507
4;	38;	21534;	0.483625;	0.485093;	703;	308;	464;	452
5;	37;	21849;	0.481493;	0.485789;	1118;	297;	497;	455
2;	40;	21549;	0.487291;	0.492877;	57072;	127;	475;	473
6;	36;	21522;	0.479139;	0.483319;	544;	318;	506;	464
3;	39;	21780;	0.485553;	0.486180;	29;	392;	474;	448
4;	38;	21675;	0.483625;	0.483230;	17;	414;	512;	478
2;	40;	21660;	0.487291;	0.490951;	109129;	84;	526;	480
6;	36;	21707;	0.479139;	0.476713;	0;	571;	571;	473
6;	36;	21966;	0.479139;	0.475098;	0;	503;	503;	479
4;	38;	21493;	0.483625;	0.484158;	4238;	249;	457;	449
1;	41;	21590;	0.488854;	0.490597;	67974;	116;	494;	492
5;	37;	21755;	0.481493;	0.485544;	142;	360;	462;	460
2;	40;	21760;	0.487291;	0.485846;	9320;	216;	516;	496
2;	40;	21643;	0.487291;	0.486208;	290;	337;	565;	497
0;	42;	21659;	0.490257;	0.486588;	524287;	-10539;	519;	487
4;	38;	21808;	0.483625;	0.484088;	60;	374;	464;	450
5;	37;	21608;	0.481493;	0.481627;	0;	468;	468;	460
5;	37;	21733;	0.481493;	0.482952;	6;	444;	516;	480
5;	37;	21686;	0.481493;	0.472886;	0;	660;	660;	502
2;	40;	21769;	0.487291;	0.486793;	537;	317;	467;	455
2;	40;	21845;	0.487291;	0.490730;	1283;	290;	494;	474
5;	37;	21835;	0.481493;	0.484223;	763;	307;	457;	447
3;	39;	21658;	0.485553;	0.482916;	0;	551;	551;	505
3;	39;	21601;	0.485553;	0.485394;	8894;	219;	527;	515
7;	35;	21435;	0.476545;	0.468486;	0;	674;	674;	496
5;	37;	21748;	0.481493;	0.483125;	13;	418;	482;	462
4;	38;	21681;	0.483625;	0.486324;	45;	385;	481;	467
4;	38;	21386;	0.483625;	0.486533;	76252;	108;	532;	498
5;	37;	21456;	0.481493;	0.482196;	334;	331;	487;	479
4;	38;	21662;	0.483625;	0.486843;	5052;	241;	495;	467
6;	36;	21578;	0.479139;	0.478821;	0;	602;	602;	466
4;	38;	21735;	0.483625;	0.487693;	84400;	102;	504;	458
4;	38;	21636;	0.483625;	0.488168;	5484;	239;	495;	477
7;	35;	21758;	0.476545;	0.478445;	10;	420;	488;	468
3;	39;	21514;	0.485553;	0.488147;	3794;	251;	477;	471
7;	35;	21840;	0.476545;	0.472115;	0;	594;	594;	474
3;	39;	22335;	0.485553;	0.486143;	154;	362;	512;	496
0;	42;	21676;	0.490257;	0.491050;	524287;	-10644;	458;	442
5;	37;	21490;	0.481493;	0.480223;	0;	572;	572;	536
4;	38;	21621;	0.483625;	0.484575;	672;	314;	480;	474
5;	37;	21847;	0.481493;	0.481714;	110;	367;	485;	465
7;	35;	21515;	0.476545;	0.477853;	1;	494;	502;	494
4;	38;	21522;	0.483625;	0.482111;	1876;	277;	537;	465
4;	38;	21603;	0.483625;	0.483729;	628;	311;	473;	457
5;	37;	21693;	0.481493;	0.486424;	5923;	235;	467;	457
2;	40;	21567;	0.487291;	0.489266;	22274;	177;	449;	449
5;	37;	21838;	0.481493;	0.476875;	0;	572;	572;	504
6;	36;	21756;	0.479139;	0.475501;	15;	423;	523;	499
4;	38;	21656;	0.483625;	0.483838;	35;	390;	516;	482
1;	41;	21478;	0.488854;	0.489757;	445;	320;	458;	444
6;	36;	21589;	0.479139;	0.475613;	1;	515;	561;	515
5;	37;	21675;	0.481493;	0.481107;	4;	447;	509;	469
2;	40;	21628;	0.487291;	0.485019;	1113;	295;	505;	469
1;	41;	21711;	0.488854;	0.482613;	677;	312;	512;	482
4;	38;	21508;	0.483625;	0.485912;	76;	366;	494;	456
5;	37;	21552;	0.481493;	0.476754;	0;	616;	616;	518
4;	38;	21680;	0.483625;	0.483625;	89;	366;	506;	456
4;	38;	21816;	0.483625;	0.487578;	24192;	175;	489;	487
4;	38;	21623;	0.483625;	0.485733;	60;	377;	443;	439
5;	37;	21700;	0.481493;	0.483041;	81;	373;	491;	463
1;	41;	21960;	0.488854;	0.491803;	42402;	146;	514;	476
4;	38;	21637;	0.483625;	0.476822;	0;	549;	549;	465
3;	39;	21686;	0.485553;	0.486627;	11942;	206;	500;	460
4;	38;	21909;	0.483625;	0.477201;	0;	500;	500;	464
6;	36;	21641;	0.479139;	0.480523;	33;	406;	480;	468
2;	40;	21757;	0.487291;	0.487154;	1607;	285;	487;	481
4;	38;	21552;	0.483625;	0.486730;	1667;	280;	466;	462
4;	38;	21858;	0.483625;	0.486824;	359;	332;	496;	482
2;	40;	21481;	0.487291;	0.483637;	452;	322;	502;	448
5;	37;	21813;	0.481493;	0.483244;	122;	358;	470;	450
7;	35;	21957;	0.476545;	0.475566;	0;	520;	520;	494
4;	38;	21910;	0.483625;	0.482702;	166;	358;	474;	448
3;	39;	21642;	0.485553;	0.489234;	548;	314;	516;	500
3;	39;	21655;	0.485553;	0.485292;	788;	307;	469;	453
2;	40;	21837;	0.487291;	0.483354;	216;	345;	503;	453
2;	40;	21444;	0.487291;	0.488342;	4168;	246;	462;	460
2;	40;	21680;	0.487291;	0.481273;	0;	525;	525;	487
3;	39;	21814;	0.485553;	0.487073;	955;	300;	466;	466
2;	40;	21765;	0.487291;	0.482839;	66;	379;	479;	479
4;	38;	21690;	0.483625;	0.481697;	71;	379;	497;	491
0;	42;	21398;	0.490257;	0.491962;	524287;	-10527;	451;	451
5;	37;	21705;	0.481493;	0.483898;	0;	509;	509;	483
6;	36;	21661;	0.479139;	0.478002;	0;	537;	537;	531
4;	38;	21627;	0.483625;	0.481805;	3;	436;	482;	452
1;	41;	21986;	0.488854;	0.484490;	1;	497;	511;	497
2;	40;	21660;	0.487291;	0.488504;	1884;	279;	475;	475
5;	37;	21733;	0.481493;	0.486219;	935;	302;	502;	478
5;	37;	21664;	0.481493;	0.487260;	3695;	253;	499;	465
4;	38;	21651;	0.483625;	0.489169;	165;	352;	450;	448
5;	37;	21426;	0.481493;	0.483105;	7;	430;	454;	448
6;	36;	21866;	0.479139;	0.480609;	6;	438;	492;	472
6;	36;	21586;	0.479139;	0.475401;	0;	506;	506;	484
4;	38;	21898;	0.483625;	0.477076;	0;	537;	537;	509
2;	40;	21743;	0.487291;	0.486961;	21653;	179;	521;	519
6;	36;	21703;	0.479139;	0.477215;	0;	572;	572;	492
4;	38;	21582;	0.483625;	0.484663;	7798;	222;	468;	460
3;	39;	21558;	0.485553;	0.479497;	53;	387;	553;	505
4;	38;	21654;	0.483625;	0.481989;	2;	486;	532;	490
5;	37;	21744;	0.481493;	0.481420;	0;	490;	490;	486
4;	38;	21764;	0.483625;	0.482126;	73;	386;	600;	486
8;	34;	21404;	0.473693;	0.470847;	0;	592;	592;	492
6;	36;	21640;	0.479139;	0.475185;	1;	454;	474;	454
3;	39;	21942;	0.485553;	0.478170;	470;	324;	522;	496
3;	39;	21971;	0.485553;	0.486733;	533;	324;	546;	480
4;	38;	21498;	0.483625;	0.487859;	1085;	295;	489;	453
1;	41;	21611;	0.488854;	0.487298;	3270;	256;	466;	448
4;	38;	21734;	0.483625;	0.489279;	29365;	164;	476;	468
5;	37;	21673;	0.481493;	0.472846;	0;	555;	555;	465
6;	36;	21559;	0.479139;	0.479104;	36;	392;	504;	466
3;	39;	21623;	0.485553;	0.483790;	1458;	288;	480;	468
6;	36;	21840;	0.479139;	0.478251;	3;	449;	465;	455
3;	39;	22167;	0.485553;	0.482384;	0;	488;	488;	444
5;	37;	21717;	0.481493;	0.480039;	9;	440;	486;	476
8;	34;	21706;	0.473693;	0.472911;	0;	570;	570;	482
8;	34;	21536;	0.473693;	0.476365;	7;	437;	465;	463
7;	35;	21383;	0.476545;	0.476032;	0;	573;	573;	483
1;	41;	21643;	0.488854;	0.498129;	65966;	117;	487;	481
7;	35;	21633;	0.476545;	0.474137;	0;	655;	655;	501
4;	38;	21820;	0.483625;	0.483639;	2734;	265;	451;	437
5;	37;	21571;	0.481493;	0.476937;	0;	536;	536;	446
5;	37;	21766;	0.481493;	0.484931;	40;	398;	502;	456
4;	38;	21410;	0.483625;	0.484727;	156;	348;	486;	454
2;	40;	21566;	0.487291;	0.481731;	1;	495;	515;	495
9;	33;	21786;	0.470562;	0.474066;	0;	560;	560;	468
4;	38;	21696;	0.483625;	0.483591;	14383;	197;	455;	431
2;	40;	21904;	0.487291;	0.483062;	1;	468;	470;	468
6;	36;	21595;	0.479139;	0.478815;	386;	326;	480;	442
3;	39;	21767;	0.485553;	0.483438;	13;	415;	467;	455
5;	37;	21444;	0.481493;	0.477476;	1;	485;	533;	485
6;	36;	21611;	0.479139;	0.472213;	0;	705;	705;	521
3;	39;	21800;	0.485553;	0.482064;	2;	466;	490;	476
4;	38;	21478;	0.483625;	0.481656;	10;	433;	483;	477
5;	37;	21498;	0.481493;	0.484417;	22;	401;	455;	443
1;	41;	21821;	0.488854;	0.486366;	3651;	252;	498;	450
2;	40;	21476;	0.487291;	0.484168;	8;	414;	486;	450
6;	36;	21654;	0.479139;	0.484252;	932;	299;	475;	457
5;	37;	21615;	0.481493;	0.478325;	32;	404;	456;	450
4;	38;	21599;	0.483625;	0.481365;	5;	445;	515;	467
3;	39;	21645;	0.485553;	0.484223;	6;	437;	523;	515
5;	37;	21871;	0.481493;	0.482511;	1566;	285;	473;	455
3;	39;	21592;	0.485553;	0.484022;	309;	335;	509;	507
3;	39;	21657;	0.485553;	0.481738;	123;	359;	497;	467
3;	39;	21569;	0.485553;	0.486532;	937;	301;	487;	471
1;	41;	21823;	0.488854;	0.486643;	1206;	293;	497;	459
5;	37;	21738;	0.481493;	0.481507;	82;	377;	503;	487
7;	35;	21616;	0.476545;	0.475250;	0;	567;	567;	525
3;	39;	21769;	0.485553;	0.483210;	0;	549;	549;	477
4;	38;	21726;	0.483625;	0.488309;	1396;	285;	479;	463
5;	37;	21696;	0.481493;	0.479904;	6;	441;	465;	453
6;	36;	21540;	0.479139;	0.482823;	857;	304;	506;	458
5;	37;	21507;	0.481493;	0.479658;	73;	378;	536;	460
6;	36;	21539;	0.479139;	0.482752;	2;	452;	464;	454
4;	38;	22151;	0.483625;	0.483138;	439;	328;	474;	472
2;	40;	21834;	0.487291;	0.494550;	48971;	136;	482;	472
3;	39;	21655;	0.485553;	0.482013;	797;	307;	487;	481
3;	39;	21574;	0.485553;	0.484426;	105;	372;	446;	440
4;	38;	21717;	0.483625;	0.488419;	428;	328;	542;	496
6;	36;	21916;	0.479139;	0.473398;	0;	659;	659;	519
4;	38;	21933;	0.483625;	0.477591;	18;	404;	438;	436
